Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,1095.000000,1119.949951,1090.099976,1099.050049,1071.162354,429620
2018-01-02,1100.000000,1109.449951,1073.449951,1080.900024,1053.472900,413942
2018-01-03,1080.500000,1115.949951,1080.099976,1099.400024,1071.503418,768114
2018-01-04,1106.900024,1112.250000,1092.000000,1106.550049,1078.472046,450896
2018-01-05,1105.800049,1123.500000,1102.050049,1107.650024,1079.544067,568810
2018-01-08,1107.650024,1135.400024,1107.650024,1116.199951,1087.877075,468360
2018-01-09,1116.199951,1127.900024,1083.599976,1089.300049,1061.659668,639168
2018-01-10,1085.000000,1115.000000,1074.650024,1079.300049,1051.913452,807750
2018-01-11,1085.000000,1107.000000,1075.050049,1101.550049,1073.598877,459962
2018-01-12,1106.900024,1110.000000,1083.500000,1093.800049,1066.045532,276559
2018-01-15,1093.800049,1093.800049,1020.000000,1078.349976,1050.987549,279071
2018-01-16,1079.000000,1102.800049,1075.000000,1092.750000,1065.022217,804279
2018-01-17,1091.000000,1111.900024,1078.199951,1107.550049,1079.446655,840913
2018-01-18,1107.550049,1119.750000,1081.099976,1090.400024,1062.731934,582399
2018-01-19,1090.000000,1103.599976,1082.599976,1098.300049,1070.431274,322347
2018-01-22,1095.949951,1103.699951,1067.250000,1077.849976,1050.500244,690857
2018-01-23,1079.000000,1107.650024,1079.000000,1101.349976,1073.403931,1019038
2018-01-24,1104.949951,1126.099976,1086.500000,1102.900024,1074.914673,821655
2018-01-25,1100.000000,1126.000000,1095.099976,1120.300049,1091.873291,2015896
2018-01-29,1115.000000,1115.000000,1082.000000,1100.400024,1072.478027,909205
2018-01-30,1100.000000,1108.250000,1068.250000,1079.900024,1052.498291,662548
2018-01-31,1079.900024,1079.900024,1009.000000,1039.400024,1013.025940,960918
2018-02-01,1050.000000,1058.599976,1022.500000,1043.800049,1017.314331,763908
2018-02-02,1025.000000,1051.250000,1006.799988,1028.250000,1002.158813,1850108
2018-02-05,1005.000000,1048.599976,1000.000000,1034.650024,1008.396423,545693
2018-02-06,982.400024,1016.000000,978.349976,1003.200012,977.744507,659453
2018-02-07,1010.000000,1023.750000,1005.700012,1013.250000,987.539429,382513
2018-02-08,1016.000000,1049.900024,1016.000000,1029.900024,1003.766968,424810
2018-02-09,1005.000000,1028.000000,1005.000000,1016.549988,990.755676,472189
2018-02-12,1022.000000,1043.000000,1017.500000,1036.500000,1010.199463,488773
2018-02-14,1040.000000,1065.800049,1031.300049,1050.699951,1024.039063,365498
2018-02-15,1055.000000,1059.900024,1037.050049,1048.099976,1021.505188,260354
2018-02-16,1052.550049,1068.250000,1035.550049,1045.650024,1019.117432,632838
2018-02-19,1042.000000,1045.000000,1007.250000,1016.799988,990.999329,502939
2018-02-20,1016.799988,1029.750000,1002.400024,1013.900024,988.172974,396055
2018-02-21,1018.000000,1024.699951,997.299988,1006.750000,981.204407,628446
2018-02-22,997.049988,1025.650024,997.049988,1019.250000,993.387146,775993
2018-02-23,1017.000000,1052.449951,1016.900024,1050.099976,1023.454407,806228
2018-02-26,1060.000000,1063.000000,1032.250000,1035.349976,1009.078613,240854
2018-02-27,1035.800049,1045.000000,1025.699951,1035.550049,1009.273621,338955
2018-02-28,1030.000000,1034.449951,1016.500000,1025.900024,999.868469,362857
2018-03-01,1026.900024,1032.449951,1017.250000,1018.450012,992.607422,272425
2018-03-05,1018.000000,1019.900024,1008.000000,1012.099976,986.418579,472011
2018-03-06,1012.000000,1023.700012,1009.500000,1013.700012,987.978027,409750
2018-03-07,1011.700012,1016.200012,985.000000,990.799988,965.659058,571021
2018-03-08,992.150024,1007.000000,980.500000,1002.700012,977.257141,405968
2018-03-09,1000.200012,1014.150024,996.799988,998.700012,973.358643,371889
2018-03-12,1005.000000,1018.200012,997.049988,1013.799988,988.075500,244331
2018-03-13,1014.000000,1050.000000,1008.000000,1035.449951,1009.176025,839762
2018-03-14,1029.000000,1061.949951,1028.800049,1054.849976,1028.083862,411421
2018-03-15,1058.000000,1106.050049,1056.000000,1084.550049,1057.030273,1000506
2018-03-16,1084.550049,1099.000000,1064.000000,1087.150024,1059.564331,629875
2018-03-19,1090.000000,1111.900024,1071.550049,1088.000000,1060.392578,614731
2018-03-20,1080.099976,1105.000000,1070.000000,1094.400024,1066.630371,545426
2018-03-21,1105.000000,1109.949951,1081.150024,1085.949951,1058.394653,498066
2018-03-22,1083.000000,1096.900024,1066.099976,1068.800049,1041.679932,422829
2018-03-23,1059.900024,1061.949951,1024.650024,1037.699951,1011.369019,710829
2018-03-26,1026.050049,1061.400024,1026.050049,1055.199951,1028.424927,341662
2018-03-27,1065.000000,1099.599976,1048.000000,1087.650024,1060.051514,855115
2018-03-28,1082.500000,1124.800049,1082.000000,1090.199951,1062.536865,1588702
2018-04-02,1092.099976,1102.349976,1079.250000,1090.349976,1062.683105,279687
2018-04-03,1085.099976,1116.250000,1085.099976,1109.199951,1081.054688,405008
2018-04-04,1125.000000,1141.800049,1087.949951,1096.750000,1068.920654,619642
